n,tiempo
0,1e-07
1,0
2,0
3,0
4,0
5,0
6,1e-07
7,0
8,0
9,0
10,0
11,1e-07
12,0
13,0
14,1e-07
15,1e-07
16,0
17,0
18,1e-07
19,1e-07
20,0
21,0
22,0
23,1e-07
24,1e-07
25,1e-07
26,1e-07
27,1e-07
28,0
29,1e-07
30,2e-07
31,1e-07
32,2e-07
33,1e-07
34,1e-07
35,3e-07
36,2e-07
37,2e-07
38,1e-07
39,2e-07
40,3e-07
41,3e-07
42,4e-07
43,3e-07
44,3e-07
45,6e-07
46,6e-07
47,4e-07
48,5e-07
49,5e-07
50,9e-07
51,9e-07
52,9e-07
53,8e-07
54,8e-07
55,1.6e-06
56,1.6e-06
57,1.5e-06
58,1.5e-06
59,1.5e-06
60,2.9e-06
61,2.8e-06
62,2.7e-06
63,2.8e-06
64,2.8e-06
65,5.2e-06
66,5.2e-06
67,5e-06
68,5e-06
69,5e-06
70,9.5e-06
71,9.2e-06
72,9.3e-06
73,9.2e-06
74,9.3e-06
75,1.73e-05
76,1.7e-05
77,1.7e-05
78,1.71e-05
79,1.7e-05
80,3.16e-05
81,3.14e-05
82,3.12e-05
83,3.12e-05
84,3.12e-05
85,5.75e-05
86,5.74e-05
87,5.72e-05
88,6.97e-05
89,6.97e-05
90,0.0001061
91,0.0001056
92,0.0001056
93,0.0001057
94,0.0001055
95,0.0002173
96,0.0001948
97,0.0001948
98,0.000195
99,0.0002106
100,0.0003704
101,0.0003581
102,0.0003573
103,0.000357
104,0.0003677
105,0.0006571
106,0.0006632
107,0.0006714
108,0.0006873
109,0.001477
110,0.0040567
111,0.0037357
112,0.0013175
113,0.001224
114,0.0012439
115,0.0023463
116,0.0022689
117,0.0027614
118,0.0029753
119,0.0028658
120,0.0041888
121,0.0042275
122,0.0044934
123,0.0115718
124,0.004236
125,0.0086222
126,0.0093463
127,0.0139164
128,0.0083301
129,0.0113485
130,0.0221448
131,0.0206911
132,0.0239378
133,0.0154011
134,0.0144754
135,0.0299585
136,0.0306575
137,0.0264467
138,0.0282018
139,0.043013
140,0.0694546
141,0.0608634
142,0.0633108
143,0.0569776
144,0.0543791
145,0.0931177
146,0.0955722
147,0.104795
148,0.104328
149,0.109009
150,0.182668
151,0.183134
152,0.17638
153,0.177767
154,0.175132
155,0.418002
156,0.33995
157,0.352041
158,0.369184
159,0.33059
160,0.713394
161,0.69564
162,0.646485
163,0.65719
164,0.663818
165,1.21365
166,1.21234
167,1.20569
168,1.17213
169,1.18027
170,2.13841
