n,tiempo
0,7.6e-06
1,1.9e-06
2,1.7e-06
3,1.7e-06
4,1.8e-06
5,1.7e-06
6,1.6e-06
7,1.7e-06
8,1.7e-06
9,1.7e-06
10,1.6e-06
11,1.6e-06
12,1.7e-06
13,1.6e-06
14,1.6e-06
15,2.2e-06
16,2.6e-06
17,3e-06
18,3.3e-06
19,3.7e-06
20,6.2e-06
21,4.7e-06
22,5e-06
23,5.3e-06
24,5.7e-06
25,6.2e-06
26,6.3e-06
27,6.7e-06
28,8.9e-06
29,7.4e-06
30,7.8e-06
31,8.1e-06
32,8.5e-06
33,1.13e-05
34,9.6e-06
35,2.48e-05
36,1.03e-05
37,1.05e-05
38,1.42e-05
39,1.13e-05
40,1.17e-05
41,1.22e-05
42,1.29e-05
43,1.5e-05
44,1.36e-05
45,1.38e-05
46,1.41e-05
47,1.63e-05
48,1.47e-05
49,1.51e-05
50,1.56e-05
51,1.8e-05
52,1.65e-05
53,1.67e-05
54,1.71e-05
55,2.2e-05
56,1.8e-05
57,1.87e-05
58,1.87e-05
59,2.16e-05
60,1.97e-05
61,2.08e-05
62,2.24e-05
63,2.08e-05
64,2.37e-05
65,2.18e-05
66,3.9e-05
67,2.27e-05
68,2.32e-05
69,2.67e-05
70,2.46e-05
71,2.67e-05
72,2.53e-05
73,2.5e-05
74,4.22e-05
75,2.64e-05
76,2.74e-05
77,2.92e-05
78,2.71e-05
79,3.04e-05
80,2.83e-05
81,2.92e-05
82,3.15e-05
83,2.9e-05
84,3.03e-05
85,3.31e-05
86,4.58e-05
87,3.51e-05
88,3.33e-05
89,3.75e-05
90,3.33e-05
91,3.62e-05
92,3.35e-05
93,3.78e-05
94,3.47e-05
95,3.73e-05
96,4.36e-05
97,3.7e-05
98,4.16e-05
99,4.92e-05
100,4.52e-05
101,5.36e-05
102,4.39e-05
103,6.11e-05
104,4.65e-05
105,5.91e-05
106,6.47e-05
107,4.7e-05
108,6.66e-05
109,9.44e-05
110,9.02e-05
111,0.000188401
112,6.4e-05
113,5.62e-05
114,5.5e-05
115,7.38e-05
116,5.34e-05
117,0.00011
118,9.27e-05
119,5.29e-05
120,6.99e-05
121,6.17e-05
122,0.0001511
123,7.43e-05
124,6.78e-05
125,0.0001147
126,8.5e-05
127,8.56e-05
128,8.53e-05
129,0.0001483
130,8.06e-05
131,0.0001679
132,9.05e-05
133,9.63e-05
134,7.76e-05
135,9.51e-05
136,8.11e-05
137,8.49e-05
138,8.59e-05
139,0.0001459
140,9.53e-05
141,9.62e-05
142,0.0001023
143,0.0001075
144,7.42e-05
145,0.0001104
146,0.0001931
147,0.0001587
148,8.27e-05
149,8.49e-05
150,0.0001894
151,8.63e-05
152,9.99e-05
153,8.89e-05
154,8.83e-05
155,0.0003158
156,0.0001121
157,0.0002132
158,0.0001066
159,0.0004123
160,0.0001362
161,0.0001272
162,9.45e-05
163,9.26e-05
164,0.0002214
165,9.44e-05
166,0.000254
167,0.0001381
168,0.0002865
169,0.0001945
170,0.0002147
