n,tiempo
0,1.8e-06
1,1.6e-06
2,1.6e-06
3,1.6e-06
4,1.6e-06
5,1.5e-06
6,1.5e-06
7,1.5e-06
8,1.6e-06
9,1.5e-06
10,1.5e-06
11,1.5e-06
12,1.5e-06
13,1.5e-06
14,1.4e-06
15,1.6e-06
16,1.9e-06
17,2e-06
18,2e-06
19,2.1e-06
20,2.1e-06
21,2.1e-06
22,2.1e-06
23,2.2e-06
24,2.3e-06
25,2.3e-06
26,2.3e-06
27,2.4e-06
28,2.5e-06
29,2.4e-06
30,2.6e-06
31,2.5e-06
32,2.9e-06
33,2.9e-06
34,3e-06
35,3.1e-06
36,3.1e-06
37,3.1e-06
38,3.2e-06
39,3.5e-06
40,3.3e-06
41,3.4e-06
42,3.4e-06
43,3.5e-06
44,3.5e-06
45,3.6e-06
46,3.5e-06
47,3.6e-06
48,3.6e-06
49,3.7e-06
50,3.8e-06
51,3.8e-06
52,4e-06
53,3.9e-06
54,4e-06
55,4.2e-06
56,4.2e-06
57,4.2e-06
58,4.3e-06
59,4.4e-06
60,4.4e-06
61,4.5e-06
62,4.5e-06
63,4.6e-06
64,4.8e-06
65,4.7e-06
66,5e-06
67,5e-06
68,5e-06
69,5.2e-06
70,5.2e-06
71,5.2e-06
72,5.2e-06
73,1.8e-05
74,5.4e-06
75,5.3e-06
76,5.6e-06
77,5.5e-06
78,5.4e-06
79,5.6e-06
80,5.6e-06
81,5.7e-06
82,5.7e-06
83,5.9e-06
84,5.7e-06
85,5.9e-06
86,6e-06
87,6.1e-06
88,6.1e-06
89,6.2e-06
90,6.1e-06
91,6.3e-06
92,6.2e-06
93,6.4e-06
94,6.4e-06
95,6.5e-06
96,6.7e-06
97,6.5e-06
98,7e-06
99,6.6e-06
100,6.8e-06
101,6.9e-06
102,6.9e-06
103,2.08e-05
104,7e-06
105,7.4e-06
106,2.91e-05
107,7.1e-06
108,7.2e-06
109,7.5e-06
110,8e-06
111,7.7e-06
112,7.4e-06
113,7.6e-06
114,7.5e-06
115,7.4e-06
116,7.6e-06
117,8e-06
118,7.9e-06
119,8e-06
120,7.9e-06
121,7.9e-06
122,8.1e-06
123,8.2e-06
124,8e-06
125,8.3e-06
126,8.5e-06
127,8.5e-06
128,8.7e-06
129,9.2e-06
130,9.3e-06
131,1.07e-05
132,9.2e-06
133,9.3e-06
134,9.2e-06
135,9.3e-06
136,9.6e-06
137,9.6e-06
138,9.7e-06
139,9.7e-06
140,1e-05
141,9.9e-06
142,9.9e-06
143,1.01e-05
144,9.9e-06
145,1.01e-05
146,1.13e-05
147,1.01e-05
148,1.01e-05
149,9.7e-06
150,9.7e-06
151,9.6e-06
152,1e-05
153,9.8e-06
154,9.9e-06
155,1.19e-05
156,1.07e-05
157,1.09e-05
158,1.03e-05
159,1.38e-05
160,1.08e-05
161,1.12e-05
162,1.04e-05
163,1.02e-05
164,1.26e-05
165,1.03e-05
166,1.2e-05
167,1.1e-05
168,1.11e-05
169,1.08e-05
170,1.13e-05
